id;season;slug;start_date;end_date;competition_format
1;Music;B2C systematic;2019-11-28T08:12:13;2019-11-27T22:08:31;EXHIBITION
2;Automotive;Practical Wooden Shirt whiteboard Concrete;2019-11-27T16:21:41;2019-11-27T16:30:58;LEAGUE
3;XSS Investment Account Investor;Fish Associate Intuitive;2019-11-27T16:41:23;2019-11-27T19:12:27;EXHIBITION
4;Automated;architect;2019-11-28T14:26:00;2019-11-28T10:50:26;LEAGUE
5;Cambridgeshire Personal Loan Account Chile;syndicate;2019-11-27T21:07:03;2019-11-28T03:31:36;HALF_TOURNAMENT
6;Reduced Antigua and Barbuda;Customer SDD;2019-11-28T04:20:12;2019-11-27T18:15:22;LEAGUE
7;Tasty Fresh Pizza Jewelery monitoring;Russian Federation Gorgeous ROI;2019-11-28T06:22:14;2019-11-28T15:11:35;EXHIBITION
8;Borders;Integration;2019-11-28T12:41:16;2019-11-27T22:55:01;EXHIBITION
9;Borders Internal;open-source Ouguiya;2019-11-28T01:44:15;2019-11-27T18:34:03;LEAGUE
10;optical deposit;Pizza Fish next-generation;2019-11-28T09:35:11;2019-11-27T22:34:33;HALF_TOURNAMENT
