id;slug;city;region;nation;name;description;active
1;SQL lavender;Rueckermouth;Fresh;Cambridgeshire Central;Table Avon Bedfordshire;Peru withdrawal Down-sized;false
2;navigating Liaison;Stephaniaville;needs-based Sports Global;generating;actuating India;Buckinghamshire microchip;false
3;Wooden;Port Dixie;pixel Phased payment;Towels Internal;seize generate;Fantastic Wooden Chips microchip;false
4;Auto Loan Account;North Gilesfort;action-items;monitor methodology West Virginia;reintermediate Factors;sensor;false
5;Beauty;East Lauriane;Refined Granite Sausages Savings Account extensible;Course robust bricks-and-clicks;Buckinghamshire Nepalese Rupee;Forge Licensed;false
6;Clothing Engineer Toys;West Emelieton;Principal Soft Quality;Cocos (Keeling) Islands Awesome;USB alarm 1080p;feed invoice;true
7;Central;Dallinchester;Tasty Metal Chair Handcrafted Rubber Sausages Officer;Mississippi Product;Metal;complexity Direct Administrator;true
8;Shoal HTTP indexing;South Rhoda;Baby Money Market Account;Connecticut;Unbranded Tugrik;models streamline;true
9;haptic;Pattiefurt;alarm;ADP Personal Loan Account;web-readiness;JBOD Books;true
10;Holy See (Vatican City State);Watsicafort;Supervisor;Licensed Steel Shirt Sleek Granite Tuna;AGP Coordinator;Practical killer Russian Federation;true
