id;value_double;value_long;value_string;description;name
1;43030;55841;Networked;Handcrafted Rubber Gloves;South Carolina
2;43324;31036;Curve Health Handcrafted Cotton Shirt;Orchestrator port;El Salvador Colon US Dollar XSS
3;77985;90781;sensor;Rustic Configurable Planner;Health
4;48235;61815;Rupiah;back up Tactics;Borders
5;8786;88253;Small bypassing;monetize Frozen;magenta Turkish Lira
6;82144;20015;Chicken;Web;circuit
7;3158;59477;Checking Account Home Loan Account orchestration;XSS alarm neural;Auto Loan Account Avon
8;66082;89481;Montserrat synthesizing;Port Sleek Wooden Fish;Handmade Generic Concrete Tuna
9;15954;47927;Savings Account utilisation Hill;Pizza redundant deposit;Towels Clothing
10;65326;22845;Designer;Borders Intelligent whiteboard;Practical Steel Mouse
