id;position;played;win;draw;lose;goal;goal_againts;point;minus_point
1;42618;10219;45138;85420;16362;52702;79480;82592;69368
2;29837;22076;83994;8238;77282;68049;23005;65451;13133
3;27325;86805;95086;96323;15105;3130;43233;73127;94361
4;90952;41972;85736;63852;96452;39759;76009;27421;44229
5;98397;31195;40933;32074;89409;72442;22995;74583;21310
6;20035;3113;86812;65166;71492;36852;56275;86435;47153
7;47320;54323;96819;15924;18552;20370;86862;9116;77659
8;15365;77092;45369;84478;53035;76102;1786;62622;79679
9;13124;29416;3252;91183;92084;96751;61665;18545;79653
10;46209;48152;123;11730;59832;12518;60730;68556;24753
