id;name;description;category;active
1;Pants;alarm hacking help-desk;TEAM;true
2;Bedfordshire Strategist supply-chains;Metal alarm challenge;TEAM;false
3;California Antarctica (the territory South of 60 deg S) transmitter;blue innovate Officer;PLAYER;true
4;application;Architect;PLAYER;false
5;programming back-end Bike;Fresh Ergonomic program;PLAYER;false
6;calculate;e-commerce Louisiana;TEAM;true
7;Soft;Incredible open architecture Movies;PLAYER;true
8;analyzing;cross-media XML;PLAYER;false
9;Shoes;systems;TEAM;true
10;invoice;invoice;PLAYER;false
