id;value_double;value_long;value_string;description;name
1;25768;84045;Pizza Assurance;program e-commerce;array parse
2;50484;4010;XML New Jersey;Clothing target;HDD Forward
3;42172;65500;Planner;National;benchmark
4;46581;63156;program Soft interface;Savings Account deposit redefine;Shirt SDD
5;49227;43716;Refined;Pike Borders;payment Rustic
6;65212;39108;Coordinator;SMTP;matrices
7;77347;59871;redefine;Ford;SDD
8;44202;16975;Jordan;Uganda Shilling Cotton;Persevering Personal Loan Account
9;70677;25252;strategic;Kids array;Kuwait optical
10;70538;80567;Utah COM;Botswana;zero defect
