id;value_double;value_long;value_string;description;name
1;37950;46035;AI;Cotton web services;Sleek synergies Practical Soft Chair
2;91807;96624;Fresh;zero administration Internal synthesize;backing up Strategist Credit Card Account
3;55918;30475;connecting motivating;Courts magenta Granite;Gorgeous
4;24189;4612;Mississippi;secured line;Incredible Focused
5;73024;74319;Ergonomic Fresh Salad SCSI;matrices visionary Officer;Awesome Streamlined
6;79457;28529;interfaces;Consultant;Nebraska deposit Streamlined
7;22022;59897;Soft Sleek;Baby IB Refined Frozen Towels;Buckinghamshire
8;43042;8220;District;hack Money Market Account;Table Soap Web
9;44524;59169;Pakistan Rupee Progressive Avon;Innovative;Cambridgeshire withdrawal Response
10;60065;47289;Analyst motivating optimize;Adaptive vertical Pines;Corporate
