id;value_double;value_long;value_string;description;name
1;23885;27681;Architect info-mediaries;Savings Account Plain;holistic plum
2;51657;53700;TCP;gold;bypassing
3;28490;33886;redundant Hawaii;empower Unbranded Plastic Shirt;Gorgeous Auto Loan Account Granite
4;34522;87986;Utah Health;Australian Dollar Architect Frozen;Shirt
5;38987;42182;metrics Dynamic port;Guyana Dollar secured line;Usability calculating Sports
6;63640;210;port;Small Rubber Pizza Fiji Dollar Metal;online withdrawal
7;9228;12102;architectures reboot;optimize;out-of-the-box
8;94172;41267;payment withdrawal HDD;Beauty deposit;Rubber Pizza Fish
9;63787;12055;Global Refined Granite Chips Fresh;Comoro Franc;heuristic Avon
10;57719;39936;Direct;Hawaii web-enabled transmitter;Refined Cotton Chicken navigating
