id;number;role;first_half_play;second_half_play;status;minute_in;minote_out
1;72960;withdrawal COM;false;false;Developer;84891;76078
2;72172;Robust Networked;false;true;partnerships Grocery Intelligent;3142;89576
3;63641;knowledge base Buckinghamshire;true;false;Investment Account;53984;75555
4;20306;Brand;true;false;Salad Web virtual;63340;10549
5;87146;digital maroon;true;true;projection Fresh;35629;31800
6;90682;contextually-based;true;false;copying;86073;30478
7;695;Borders;false;false;Bahamian Dollar;26941;33761
8;24412;Gloves sky blue Oklahoma;false;false;Engineer;96244;24687
9;25178;Buckinghamshire capability zero tolerance;false;false;Analyst paradigms;3305;27864
10;34507;deposit Canadian Dollar Lebanon;false;true;Persistent Bulgarian Lev;76161;36965
