id;description;value;value_double;value_long;value_string
1;Supervisor clear-thinking;30536;54873;48561;Ports Manager Fish
2;Networked;32539;17882;74649;payment calculating
3;local area network Benin;50881;36771;63633;Ergonomic
4;Strategist target;89204;90609;63113;cross-platform Borders
5;Libyan Dinar CSS;23018;72245;49919;Alaska
6;deposit Chips Applications;95392;27956;91486;out-of-the-box Automotive Tactics
7;Venezuela Wisconsin;98033;85300;7534;functionalities
8;compressing;31692;48527;16949;Maryland Configuration
9;Intranet Ergonomic Concrete Soap Zambian Kwacha;35864;14008;25416;system-worthy portal
10;Belize Dollar Sudanese Pound real-time;29359;29651;80936;open-source HDD
