id;name;description;active
1;Berkshire Keyboard Branding;olive Practical AI;false
2;generate actuating;Avon cross-platform Wall;false
3;online pink Synergized;Gibraltar;true
4;generate Electronics Fresh;GB AGP;false
5;Park Producer quantify;Bahamas;false
6;ubiquitous interactive;Buckinghamshire Fantastic;true
7;navigating evolve;web services teal sky blue;false
8;impactful;Indiana withdrawal bluetooth;false
9;Human;Cape Verde Ridge;true
10;Gloves Auto Loan Account customized;client-driven Analyst Rubber;false
