id;start_date;end_date;appearance;minute_played;goals;assists;average_rating
1;2019-11-28T12:39:21;2019-11-27T17:02:29;59853;22461;9501;37216;37599
2;2019-11-28T04:56:43;2019-11-28T02:06:47;43940;38865;61293;16368;94307
3;2019-11-28T08:44:39;2019-11-28T09:32:19;92831;12150;67598;19747;49604
4;2019-11-27T18:01:45;2019-11-28T15:00:36;64581;99241;28590;67145;81594
5;2019-11-28T07:42:33;2019-11-27T18:38:33;87926;84651;25843;91892;54401
6;2019-11-28T09:15:41;2019-11-28T00:02:59;75504;22106;46053;97839;84199
7;2019-11-27T21:21:31;2019-11-27T21:49:54;55781;77644;18059;65616;5385
8;2019-11-28T11:03:25;2019-11-28T07:38:02;54502;75318;98466;26933;93738
9;2019-11-28T02:21:57;2019-11-28T14:16:44;72794;16481;10794;13172;68529
10;2019-11-27T21:53:30;2019-11-28T13:06:37;81778;96512;21351;48839;50585
