id;description;value;value_double;value_long;value_string
1;23763;24215;72821;80313;Point Orchestrator
2;39882;53577;81643;9028;hacking installation magenta
3;4077;85835;59089;32595;red firewall open-source
4;34866;64517;9617;17436;Yen synthesize Creative
5;13752;67569;34106;73521;azure
6;54144;87733;69578;25794;deposit
7;81722;98216;55520;51663;content-based Executive
8;96541;89721;55829;90041;deposit B2B cross-media
9;72595;84666;89711;85632;drive THX bypassing
10;93563;16162;78534;89855;Home Loan Account Tools Unbranded
