id;name;desription;category;active
1;ivory;navigate Croatian Kuna hack;GOALKEEPER;false
2;Port application;plum Cotton withdrawal;DEFENDER;false
3;Savings Account;Bacon evolve;DEFENDER;true
4;Ergonomic Rubber Bike Oklahoma Arizona;Buckinghamshire Auto Loan Account;GOALKEEPER;false
5;Rustic Handcrafted Plastic Fish;Developer indigo connecting;GOALKEEPER;false
6;communities Fantastic green;1080p parse;FORWARD;true
7;digital Metal;Assistant navigate;GOALKEEPER;false
8;strategic Clothing Toys;Indiana Denar Paradigm;MIDFIELDER;true
9;indexing turquoise;vortals Applications panel;GOALKEEPER;false
10;users driver bypass;Polarised;FORWARD;true
