id;name;description;logo;manager_name;head_coach_name
1;invoice Representative whiteboard;Bedfordshire;transmitting COM;Music Data East Caribbean Dollar;Savings Account Branding navigating
2;payment Incredible deposit;Checking Account utilisation AI;USB primary Iowa;Refined withdrawal copy;Kuwaiti Dinar solid state program
3;help-desk SAS embrace;Nigeria;firmware;seamless mesh;disintermediate Jordan Savings Account
4;deploy Advanced;New Mexico;Pakistan Rupee;connect Berkshire;XSS Suriname
5;Lead cross-platform;enable;Moldova Operative;Investment Account generate;synthesize capacitor Andorra
6;violet Outdoors deposit;Functionality invoice streamline;Applications;yellow Shoes;Open-source multi-tasking
7;Data;Moldova archive;monitor morph;networks Granite Computer;CSS haptic Fish
8;Licensed;white Principal;Avon neural;integrate New Caledonia;Solutions
9;invoice Cambridgeshire;Secured olive;Shirt next-generation;Legacy efficient Exclusive;definition transmitter navigating
10;Trinidad and Tobago Dollar Licensed Savings Account;interfaces Mouse;bus;Field Bermuda Chair;deposit
