id;number;join_date;status;active
1;60709;2019-11-28T10:22:00;deposit Integrated;true
2;59447;2019-11-28T13:54:44;Frozen bi-directional;true
3;69514;2019-11-27T23:05:42;technologies Roads;true
4;69243;2019-11-28T14:56:07;innovative bypassing Credit Card Account;false
5;57838;2019-11-27T17:34:58;bypass;false
6;8565;2019-11-27T23:49:42;Savings Account monetize one-to-one;false
7;35499;2019-11-28T00:30:13;convergence;true
8;6761;2019-11-27T23:14:41;Intelligent Metal Hat system-worthy Credit Card Account;true
9;53295;2019-11-28T09:46:31;Highway;false
10;66948;2019-11-28T14:03:32;reintermediate efficient Producer;false
