id;name;description;address;phone_number;location
1;value-added Savings Account;Connecticut Avon Money Market Account;bus;Security Virginia;solid state Clothing deposit
2;Maine Checking Account markets;Unbranded programming District;Concrete;Pizza yellow programming;FTP
3;Persistent Investment Account;Handmade Plastic Mouse neural;Money Market Account;synergize;JSON National
4;interactive capacitor;Idaho Grocery;Concrete Towels Avon;Automotive frame;Indiana deposit Electronics
5;Bedfordshire Strategist;Towels applications;Zimbabwe;Bedfordshire;application scale
6;indigo National;Expressway;Tools Street;Arkansas reciprocal;Mountain Malaysia supply-chains
7;Borders hack;Pants;Tasty navigate didactic;payment schemas Industrial;calculating
8;withdrawal Toys white;olive;Kids Incredible;Florida THX Idaho;Licensed Visionary pixel
9;neural Markets Branding;maroon;superstructure;Kids;microchip
10;Music Salad North Carolina;circuit Forward;frictionless solution-oriented;distributed Computers;Money Market Account users Guinea
